[2021-10-28 22:18:43,751] [INFO] ************************************* Maxims_VMP_Report Start *************************************
[2021-10-28 22:18:43,751] [INFO] ['Maxims_VMP_Report.py']
[2021-10-28 22:18:43,752] [INFO] ************************************* readCSV Start *************************************
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'File ID', 'File Date', 'MID', 'MID name']
[2021-10-28 22:18:43,754] [INFO] ['`RH', '`852000058140011_20211027', '`20211027', '`852000058140011', '`Maxims MX']
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'Settlement Date', 'Terminal ID', 'Batch Number', 'Transaction Date', 'Transaction Time', 'Settlement no', 'Payment Type', 'Currency', 'Wallet Version', 'FX Rate', 'Transaction amount HKD', 'Transaction amount RMB', 'MDR Fee HKD', 'MDR', 'Net Amount HKD', 'Trace Number', 'Trans Type', 'RRN', 'Merchant RRN', 'User confirm key']
[2021-10-28 22:18:43,764] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`092604', '`2021102722001389581458470966', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`38.5', '`', '`0.46', '`', '`38.04', '`7990643', '`S', '`58140011000070111tdav5qta199', '`04998904833800102751', '`852000058140011']
[2021-10-28 22:18:43,764] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`092713', '`2021102722001315791404692717', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`36', '`', '`0.43', '`', '`35.57', '`7990693', '`S', '`58140011000070111tdav5svf253', '`04998904833900102700', '`852000058140011']
[2021-10-28 22:18:43,765] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`092826', '`2021102722001357971441524968', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`41.5', '`', '`0.5', '`', '`41.0', '`7990741', '`S', '`58140011000070111tdav5tlo305', '`04998904834100102719', '`852000058140011']
[2021-10-28 22:18:43,765] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`093804', '`2021102722001353991421109370', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`38.5', '`', '`0.46', '`', '`38.04', '`7991049', '`S', '`58140011000070111tdav66ko632', '`04998904834200102743', '`852000058140011']
[2021-10-28 22:18:43,766] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`094223', '`2021102722001357261405811151', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`32', '`', '`0.38', '`', '`31.62', '`7991171', '`S', '`58140011000070111tdav6aj0767', '`04998904834300102757', '`852000058140011']
[2021-10-28 22:18:43,766] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`094422', '`2021102722001359081407221495', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`36', '`', '`0.43', '`', '`35.57', '`7991263', '`S', '`58140011000070111tdav6cqs866', '`04998904834400102712', '`852000058140011']
[2021-10-28 22:18:43,767] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`094626', '`2021102722001364521413076909', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`26', '`', '`0.31', '`', '`25.69', '`7991319', '`S', '`58140011000070111tdav6evm924', '`04998904834600102716', '`852000058140011']
[2021-10-28 22:18:43,768] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`094749', '`2021102722001391641404812368', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`32', '`', '`0.38', '`', '`31.62', '`7991375', '`S', '`58140011000070111tdav6g1f983', '`04998904834700102735', '`852000058140011']
[2021-10-28 22:18:43,768] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`095617', '`2021102722001357261405804189', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`34.5', '`', '`0.41', '`', '`34.09', '`7991636', '`S', '`58140011000070111tdav6ogu256', '`04998904834900102709', '`852000058140011']
[2021-10-28 22:18:43,769] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`100957', '`2021102722001367531406819904', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`30', '`', '`0.36', '`', '`29.64', '`7992104', '`S', '`58140011000070111tdav8cti756', '`04998904835000102747', '`852000058140011']
